Nombre,Precio,Descripcion
Exploradora X-1,"1,500,000 cr",Ideal para perderse en el borde exterior. Incluye cafetera cuántica y asientos de piel de Wookiee sintética.
Caza 'Furia' MK-II,"2,300,000 cr","Rápida, letal y roja. Porque el rojo corre más. No incluye seguro de vida."
Carguero 'Mula' T-500,"850,000 cr","Fea pero robusta. Carga hasta 500 toneladas de mineral o mercancía ""no preguntes""."
Velocista S-9,"3,000,000 cr","Diseñada para ganar. Si no ganas, es culpa del piloto."
Nave 'Pinky' Z-1,"999,999 cr",La nave más adorable de la galaxia. Dispara arcoíris (metafóricamente).
Yate Estelar 'Lujo',"5,000,000 cr","Para el dictador galáctico que hay en ti. Asientos de piel de wookiee (sintética, claro)."
Interceptor 'Rayo',"1,800,000 cr","Menos blindaje, más velocidad. Si te dan, explotas. Si no te dan, ganas."
Minero 'Topo' X,"900,000 cr","Equipada con láseres de minería. No apta para combate, a menos que el enemigo sea una roca."
El 'Halcón' (Copia),500 cr,"No parece mucho, pero... bueno, en realidad no es mucho. Necesita reparaciones urgentes."
Sonda 'Ojo',"150,000 cr","Pequeña, discreta y sin piloto. Perfecta para espiar a tus vecinos planetarios."
